ret|t|imperaret|imperat|unknown
a|e|Persarum|Perserum|unknown
a|i|Iudea|Iudei|unknown
i|a|Chaldei|Chaldea|unknown
y|i|Assyrii|Assirii|y
m||eam|ea|unknown
s|c|his|hic|unknown
us|hus|Iosepus|Iosephus|unknown
t||Scribit|Scribi|unknown
samar|thasar|Balsamar|Balthasar|unknown
ss|ll|transisse|transille|unknown
is|o|filiis|filio|unknown
im|y|Babiloniam|Babylonia|unknown
i|y|Babiloniorum|Babyloniorum|y
e|c|eum|cum|unknown
uit|t|computauit|computat|unknown
s|m|uersus|uersum|unknown
i|a|templi|templa|unknown
r|l|Berosum|Belosum|unknown
B|U|Berosum|Uerosum|unknown
|h|Refert|Referth|unknown
s|m|rursus|rursum|unknown
i|m|cui|cum|unknown
i|y|Ciro|Cyro|y
a|e|Persa|Perse|unknown
|s|Medi|Medis|unknown
s||aliis|alii|unknown
nt|tur|putant|putatur|unknown
S|F|Susis|Fusis|unknown
i|y|Cirus|Cyrus|y
eorum|orum|Hebreorum|Hebrorum|unknown
hronicam|ronicam|Chronicam|Cronicam|unknown
E|C|Eusebii|Cusebii|unknown
xersis|rxersis|Artaxersis|Artarxersis|unknown
xerses|rxerses|Artaxerses|Artarxerses|unknown
o|us|Bruto|Brutus|unknown
i|y|Cirus|Cyrus|y
c|t|nuncius|nuntius|tc
i|y|Ciro|Cyro|y
i|y|Ciri|Cyri|y
i|y|Ciri|Cyri|y
ominatus|hominatus|abominatus|abhominatus|unknown
e|i|ceremonias|cerimonias|unknown
y|i|Egypto|Egipto|y
|h|Iudit|Iudith|unknown
b|p|Cambisen|Campisen|unknown
y|i|Hieronymus|Hieronimus|y
b|p|Cambises|Campises|unknown
olummdo|ummod|solummodo|summodo|unknown
f|s|fermo|sermo|unknown
s|x|iusta|iuxta|unknown
uptum|ruptum|diruptum|dirruptum|unknown
Hieronymus|Ieronymus|Hieronymus|Ieronymus|unknown
t||est|es|unknown
chi|hi|michi|mihi|unknown
Xersis|Exersis|Xersis|Exersis|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
chrias|ris|Zacharias|Zarias|unknown
i|y|Ciro|Cyro|y
a|e|iacta|iecta|unknown
duodecimo|undecimo|duodecimo|undecimo|unknown
o|a|tertio|tertia|unknown
.|),|.|),|unknown
b|p|obtinuerunt|optinuerunt|unknown
y|i|Olympiade|Olimpiade|y
y|i|Olympiade|Olimpiade|y
t|it|refugit|refugiit|unknown
sth|nst|Demosthenes|Demonstenes|unknown
